,wer,cer,MCD,Log_F0_RMSE,speechBERTScore,UTMOS,bitrate
tacotron2-200-512,48.63,33.17,6.9382,0.3333,0.8422,4.0096,57.6
tacotron2-200-1024,36.88,25.87,6.7531,0.32,0.8622,4.0507,63.9
tacotron2-200-2048,33.48,24.31,6.6734,0.3261,0.8682,4.0794,69.9
tacotron2-200-4096,33.08,24.19,6.6641,0.3197,0.8646,4.0194,76.0
tacotron2-200-8192,45.36,31.65,6.9597,0.3405,0.8374,3.9359,81.4
tacotron2-200-16384,61.21,42.5,7.4476,0.3944,0.7996,3.6328,86.5
tacotron2-240-128,88.28,65.7,8.803,0.3831,0.749,3.7914,36.7
tacotron2-240-256,80.7,60.03,8.4704,0.3295,0.7787,3.9342,42.6
tacotron2-240-512,68.28,51.02,8.1453,0.3489,0.8137,3.9607,48.3
tacotron2-240-1024,59.5,45.66,7.9284,0.3599,0.8335,4.063,53.6
tacotron2-240-2048,53.71,42.01,7.768,0.3344,0.8444,4.0427,58.7
tacotron2-240-4096,55.5,43.25,7.9124,0.3487,0.8377,3.9987,63.7
tacotron2-240-8192,62.89,48.05,7.9464,0.3491,0.8167,3.9663,67.9
tacotron2-240-16384,78.62,59.71,8.4552,0.3644,0.7674,3.7475,71.8
tacotron2-280-128,91.4,70.32,9.2779,0.3757,0.7313,3.8234,31.6
tacotron2-280-256,90.14,69.03,9.0655,0.3754,0.7551,3.7998,36.8
tacotron2-280-512,81.71,63.57,8.7899,0.3687,0.7789,3.9177,41.7
tacotron2-280-1024,73.11,57.77,8.5967,0.3633,0.8067,3.9703,46.1
tacotron2-280-2048,68.86,55.23,8.5837,0.3378,0.8192,3.9734,50.5
tacotron2-280-4096,70.74,56.48,8.6564,0.3639,0.8084,3.901,54.7
tacotron2-280-8192,78.24,61.75,8.8298,0.3895,0.778,3.7179,58.0
tacotron2-280-16384,85.76,66.8,9.111,0.3943,0.7456,3.6481,61.2
vits-20-128,2.36,0.83,4.7939,0.2568,0.9078,4.3996,194.3
vits-20-256,1.58,0.5,4.7595,0.2579,0.9102,4.3844,237.2
vits-20-512,1.81,0.54,4.683,0.2552,0.91,4.3676,282.3
vits-20-1024,1.61,0.53,4.707,0.254,0.9097,4.3467,326.0
vits-20-2048,1.56,0.45,4.6918,0.2535,0.9067,4.2916,372.5
vits-20-4096,1.89,0.62,4.7134,0.2456,0.9029,4.1873,431.3
vits-20-8192,1.66,0.54,4.7332,0.2389,0.888,4.0028,497.4
vits-20-16384,2.16,0.8,4.7272,0.2354,0.884,3.9565,576.7
vits-40-128,3.14,1.15,4.8636,0.2561,0.9014,4.367,152.3
vits-40-256,1.94,0.68,4.8227,0.2572,0.9047,4.3544,181.0
vits-40-512,1.91,0.6,4.7653,0.2531,0.9076,4.3343,211.8
vits-40-1024,1.84,0.64,4.7723,0.2513,0.9049,4.3152,237.7
vits-40-2048,1.99,0.61,4.7533,0.2486,0.9056,4.3051,265.1
vits-40-4096,1.69,0.56,4.7394,0.2456,0.9026,4.2291,299.6
vits-40-8192,2.24,0.83,4.8152,0.2463,0.8936,4.1472,334.9
vits-40-16384,2.34,0.83,4.8352,0.2438,0.8821,3.986,372.8
vits-80-128,11.32,5.41,5.0259,0.2559,0.8768,4.3149,96.5
vits-80-256,6.04,2.65,4.9346,0.2562,0.8883,4.3077,116.1
vits-80-512,4.63,2.01,4.8905,0.2615,0.8907,4.3234,130.3
vits-80-1024,4.96,2.04,4.9041,0.2461,0.8902,4.3163,145.4
vits-80-2048,3.85,1.53,4.9104,0.2515,0.8902,4.2452,159.4
vits-80-4096,4.15,1.81,4.9319,0.2491,0.8858,4.2091,175.9
vits-80-8192,4.03,1.64,4.9313,0.2489,0.8794,4.173,192.4
vits-80-16384,4.45,1.93,4.9627,0.241,0.8726,4.0239,208.7
vits-120-128,35.27,19.03,5.4435,0.2668,0.8311,4.2416,69.9
vits-120-256,22.69,11.47,5.2914,0.2603,0.8468,4.2294,81.9
vits-120-512,18.52,9.25,5.2333,0.2571,0.851,4.2131,92.6
vits-120-1024,15.25,7.86,5.1634,0.2557,0.8551,4.2358,103.0
vits-120-2048,16.98,8.52,5.2205,0.2518,0.8527,4.2005,112.8
vits-120-4096,15.77,8.03,5.1865,0.2627,0.8495,4.149,123.4
vits-120-8192,15.07,7.42,5.2414,0.2605,0.8431,4.065,133.4
vits-120-16384,15.45,7.77,5.1796,0.2568,0.8437,4.0484,143.1
vits-160-128,79.47,47.29,6.0441,0.2633,0.7752,4.0862,54.4
vits-160-256,52.13,28.93,5.7239,0.266,0.8,4.081,63.2
vits-160-512,52.81,29.38,5.6604,0.2656,0.8028,4.0994,71.6
vits-160-1024,46.89,27.92,5.6178,0.2681,0.8075,4.0586,78.8
vits-160-2048,44.55,24.83,5.6313,0.2748,0.8038,4.0036,86.8
vits-160-4096,46.34,26.14,5.6258,0.2692,0.7988,3.9763,94.3
vits-160-8192,46.69,26.11,5.6388,0.2573,0.7969,3.9218,101.5
vits-160-16384,43.6,23.9,5.6,0.254,0.7989,3.8821,108.5
vits-200-128,137.31,95.51,6.7355,0.2762,0.725,3.8696,44.3
vits-200-256,152.93,97.98,6.5612,0.2732,0.7322,3.8458,50.8
vits-200-512,99.65,63.45,6.3465,0.2812,0.7452,3.8706,57.6
vits-200-1024,102.89,65.51,6.2798,0.2801,0.7471,3.8125,63.9
vits-200-2048,92.7,55.69,6.1977,0.2786,0.7535,3.8362,69.9
vits-200-4096,127.97,79.27,6.1861,0.2696,0.7485,3.7777,76.0
vits-200-8192,88.91,55.44,6.2186,0.261,0.7427,3.6804,81.4
vits-200-16384,95.37,60.06,6.1581,0.2747,0.7376,3.567,86.5
vits-240-128,227.09,153.22,7.476,0.2899,0.6783,3.5877,36.7
vits-240-256,197.13,121.25,7.1556,0.2748,0.6928,3.6143,42.6
vits-240-512,149.13,103.94,7.0034,0.2787,0.7029,3.684,48.3
vits-240-1024,159.25,105.57,6.8393,0.2696,0.7052,3.6431,53.6
vits-240-2048,201.71,134.63,6.8303,0.275,0.7018,3.5432,58.7
vits-240-4096,176.43,116.7,6.8557,0.2798,0.7039,3.5696,63.7
vits-240-8192,133.28,84.13,6.7472,0.2809,0.7001,3.5462,67.9
vits-240-16384,157.61,104.0,6.7419,0.2888,0.7004,3.4318,71.8
vits-280-128,262.42,169.65,7.9239,0.2912,0.6613,3.4787,31.6
vits-280-256,234.19,152.92,7.7148,0.2911,0.666,3.4882,36.8
vits-280-512,188.88,124.13,7.6083,0.2879,0.67,3.4989,41.7
vits-280-1024,251.7,162.87,7.454,0.2852,0.6737,3.3527,46.1
vits-280-2048,160.15,101.78,7.361,0.2933,0.6787,3.4674,50.5
vits-280-4096,223.3,147.86,7.2889,0.2848,0.678,3.3984,54.7
vits-280-8192,195.52,127.74,7.3066,0.2731,0.6716,3.1874,58.0
vits-280-16384,204.13,136.96,7.1967,0.2823,0.6746,3.3051,61.2
